N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
338,HARMONY SCIENCE,30,30
339,HARMONY SCIENCE,30,13
340,HARMONY SCIENCE,30,28
341,HARMONY SCIENCE,30,29
342,HARMONY SCIENCE,30,21
343,HARMONY SCIENCE,30,35
344,HARMONY SCIENCE,30,24
345,HARMONY SCIENCE,30,20
346,HARMONY SCIENCE,30,33
347,HARMONY SCIENCE,19,23
348,HARMONY SCIENCE,19,29
349,HARMONY SCIENCE,19,30
350,HARMONY SCIENCE,19,13
351,HARMONY SCIENCE,19,28
352,HARMONY SCIENCE,19,29
353,HARMONY SCIENCE,19,21
354,HARMONY SCIENCE,19,35
355,HARMONY SCIENCE,19,24
356,HARMONY SCIENCE,19,20
357,HARMONY SCIENCE,19,33
358,HARMONY SCIENCE,29,23
359,HARMONY SCIENCE,29,29
360,HARMONY SCIENCE,29,30
361,HARMONY SCIENCE,29,13
362,HARMONY SCIENCE,29,28
363,HARMONY SCIENCE,29,29
364,HARMONY SCIENCE,29,21
365,HARMONY SCIENCE,29,35
366,HARMONY SCIENCE,29,24
367,HARMONY SCIENCE,29,20
368,HARMONY SCIENCE,29,33
369,HARMONY SCIENCE,37,23
370,HARMONY SCIENCE,37,29
371,HARMONY SCIENCE,37,30
372,HARMONY SCIENCE,37,13
373,HARMONY SCIENCE,37,28
374,HARMONY SCIENCE,37,29
375,HARMONY SCIENCE,37,21
376,HARMONY SCIENCE,37,35
377,HARMONY SCIENCE,37,24
378,HARMONY SCIENCE,37,20
379,HARMONY SCIENCE,37,33
380,HARMONY SCIENCE,18,23
381,HARMONY SCIENCE,18,29
382,HARMONY SCIENCE,18,30
383,HARMONY SCIENCE,18,13
384,HARMONY SCIENCE,18,28
385,HARMONY SCIENCE,18,29
386,HARMONY SCIENCE,18,21
387,HARMONY SCIENCE,18,35
388,HARMONY SCIENCE,18,24
389,HARMONY SCIENCE,18,20
390,HARMONY SCIENCE,18,33
391,HARMONY SCIENCE,36,23
392,HARMONY SCIENCE,36,29
393,HARMONY SCIENCE,36,30
394,HARMONY SCIENCE,36,13
395,HARMONY SCIENCE,36,28
396,HARMONY SCIENCE,36,29
397,HARMONY SCIENCE,36,21
398,HARMONY SCIENCE,36,35
399,HARMONY SCIENCE,36,24
400,HARMONY SCIENCE,36,20
401,HARMONY SCIENCE,36,33
402,HARMONY SCIENCE,16,23
403,HARMONY SCIENCE,16,29
404,HARMONY SCIENCE,16,30
405,HARMONY SCIENCE,16,13
406,HARMONY SCIENCE,16,28
407,HARMONY SCIENCE,16,29
408,HARMONY SCIENCE,16,21
409,HARMONY SCIENCE,16,35
410,HARMONY SCIENCE,16,24
411,HARMONY SCIENCE,16,20
412,HARMONY SCIENCE,16,33
413,HARMONY SCIENCE,16,23
414,HARMONY SCIENCE,16,29
415,HARMONY SCIENCE,16,30
416,HARMONY SCIENCE,16,13
417,HARMONY SCIENCE,16,28
418,HARMONY SCIENCE,16,29
419,HARMONY SCIENCE,16,21
420,HARMONY SCIENCE,16,35
421,HARMONY SCIENCE,16,24
422,HARMONY SCIENCE,16,20
423,HARMONY SCIENCE,16,33
424,HARMONY SCIENCE,31,23
425,HARMONY SCIENCE,31,29
426,HARMONY SCIENCE,31,30
427,HARMONY SCIENCE,31,13
428,HARMONY SCIENCE,31,28
429,HARMONY SCIENCE,31,29
430,HARMONY SCIENCE,31,21
431,HARMONY SCIENCE,31,35
432,HARMONY SCIENCE,31,24
433,HARMONY SCIENCE,31,20
434,HARMONY SCIENCE,31,33
435,BROOKS ACADEMY,47,48
436,HENRY FORD ACAD,28,36
437,BASIS SAN ANTON,0,2
438,BASIS SAN ANTON,0,0
439,BASIS SAN ANTON,0,2
440,BASIS SAN ANTON,0,0
441,GREAT HEARTS MO,8,7
442,CARPE DIEM SCHO,64,57
443,ALAMO HEIGHTS H,22,23
444,HARLANDALE H S,54,52
445,MCCOLLUM H S,48,45
446,FRANK M TEJEDA,90,78
447,HARLANDALE ISD,75,19
448,JOHN F KENNEDY,64,61
449,MEMORIAL H S,61,59
450,MEMORIAL H S,61,13
451,MEMORIAL H S,61,41
452,MEMORIAL H S,61,54
