N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
1705,PREMIER H S OF,50,75
1706,PREMIER H S OF,50,73
1707,PREMIER H S OF,50,60
1708,PREMIER H S OF,50,50
1709,PREMIER H S OF,50,29
1710,PREMIER H S OF,50,40
1711,PREMIER H S OF,50,59
1712,PREMIER H S OF,50,81
1713,PREMIER H S OF,50,27
1714,PREMIER H S OF,50,67
1715,PREMIER H S OF,50,65
1716,PREMIER H S OF,50,55
1717,PREMIER H S OF,50,74
1718,PREMIER H S OF,50,64
1719,PREMIER H S OF,50,75
1720,PREMIER H S OF,50,33
1721,PREMIER H S OF,50,38
1722,PREMIER H S OF,50,36
1723,PREMIER H S OF,50,54
1724,PREMIER H S OF,50,75
1725,PREMIER H S OF,50,43
1726,PREMIER H S OF,50,57
1727,PREMIER H S OF,50,80
1728,PREMIER H S OF,50,60
1729,PREMIER H S OF,50,36
1730,PREMIER H S OF,50,69
1731,PREMIER H S OF,67,60
1732,PREMIER H S OF,67,29
1733,PREMIER H S OF,67,46
1734,PREMIER H S OF,67,38
1735,PREMIER H S OF,67,75
1736,PREMIER H S OF,67,73
1737,PREMIER H S OF,67,60
1738,PREMIER H S OF,67,50
1739,PREMIER H S OF,67,29
1740,PREMIER H S OF,67,40
1741,PREMIER H S OF,67,59
1742,PREMIER H S OF,67,81
1743,PREMIER H S OF,67,27
1744,PREMIER H S OF,67,67
1745,PREMIER H S OF,67,65
1746,PREMIER H S OF,67,55
1747,PREMIER H S OF,67,74
1748,PREMIER H S OF,67,64
1749,PREMIER H S OF,67,75
1750,PREMIER H S OF,67,33
1751,PREMIER H S OF,67,38
1752,PREMIER H S OF,67,36
1753,PREMIER H S OF,67,54
1754,PREMIER H S OF,67,75
1755,PREMIER H S OF,67,43
1756,PREMIER H S OF,67,57
1757,PREMIER H S OF,67,80
1758,PREMIER H S OF,67,60
1759,PREMIER H S OF,67,36
1760,PREMIER H S OF,67,69
1761,PREMIER H S OF,73,60
1762,PREMIER H S OF,73,29
1763,PREMIER H S OF,73,46
1764,PREMIER H S OF,73,38
1765,PREMIER H S OF,73,75
1766,PREMIER H S OF,73,73
1767,PREMIER H S OF,73,60
1768,PREMIER H S OF,73,50
1769,PREMIER H S OF,73,29
1770,PREMIER H S OF,73,40
1771,PREMIER H S OF,73,59
1772,PREMIER H S OF,73,81
1773,PREMIER H S OF,73,27
1774,PREMIER H S OF,73,67
1775,PREMIER H S OF,73,65
1776,PREMIER H S OF,73,55
1777,PREMIER H S OF,73,74
1778,PREMIER H S OF,73,64
1779,PREMIER H S OF,73,75
1780,PREMIER H S OF,73,33
1781,PREMIER H S OF,73,38
1782,PREMIER H S OF,73,36
1783,PREMIER H S OF,73,54
1784,PREMIER H S OF,73,75
1785,PREMIER H S OF,73,43
1786,PREMIER H S OF,73,57
1787,PREMIER H S OF,73,80
1788,PREMIER H S OF,73,60
1789,PREMIER H S OF,73,36
1790,PREMIER H S OF,73,69
1791,PREMIER H S OF,53,60
1792,PREMIER H S OF,53,29
1793,PREMIER H S OF,53,46
1794,PREMIER H S OF,53,38
1795,PREMIER H S OF,53,75
1796,PREMIER H S OF,53,73
1797,PREMIER H S OF,53,60
1798,PREMIER H S OF,53,50
1799,PREMIER H S OF,53,29
1800,PREMIER H S OF,53,40
1801,PREMIER H S OF,53,59
1802,PREMIER H S OF,53,81
1803,PREMIER H S OF,53,27
1804,PREMIER H S OF,53,67
1805,PREMIER H S OF,53,65
1806,PREMIER H S OF,53,55
1807,PREMIER H S OF,53,74
1808,PREMIER H S OF,53,64
1809,PREMIER H S OF,53,75
1810,PREMIER H S OF,53,33
1811,PREMIER H S OF,53,38
1812,PREMIER H S OF,53,36
1813,PREMIER H S OF,53,54
1814,PREMIER H S OF,53,75
1815,PREMIER H S OF,53,43
1816,PREMIER H S OF,53,57
1817,PREMIER H S OF,53,80
1818,PREMIER H S OF,53,60
1819,PREMIER H S OF,53,36
1820,PREMIER H S OF,53,69
1821,PREMIER H S OF,82,60
1822,PREMIER H S OF,82,29
1823,PREMIER H S OF,82,46
1824,PREMIER H S OF,82,38
1825,PREMIER H S OF,82,75
1826,PREMIER H S OF,82,73
1827,PREMIER H S OF,82,60
1828,PREMIER H S OF,82,50
1829,PREMIER H S OF,82,29
1830,PREMIER H S OF,82,40
1831,PREMIER H S OF,82,59
1832,PREMIER H S OF,82,81
1833,PREMIER H S OF,82,27
1834,PREMIER H S OF,82,67
1835,PREMIER H S OF,82,65
1836,PREMIER H S OF,82,55
1837,PREMIER H S OF,82,74
1838,PREMIER H S OF,82,64
1839,PREMIER H S OF,82,75
1840,PREMIER H S OF,82,33
1841,PREMIER H S OF,82,38
1842,PREMIER H S OF,82,36
1843,PREMIER H S OF,82,54
1844,PREMIER H S OF,82,75
1845,PREMIER H S OF,82,43
1846,PREMIER H S OF,82,57
1847,PREMIER H S OF,82,80
1848,PREMIER H S OF,82,60
1849,PREMIER H S OF,82,36
1850,PREMIER H S OF,82,69
1851,PREMIER H S OF,45,60
1852,PREMIER H S OF,45,29
1853,PREMIER H S OF,45,46
1854,PREMIER H S OF,45,38
1855,PREMIER H S OF,45,75
1856,PREMIER H S OF,45,73
1857,PREMIER H S OF,45,60
1858,PREMIER H S OF,45,50
1859,PREMIER H S OF,45,29
1860,PREMIER H S OF,45,40
1861,PREMIER H S OF,45,59
1862,PREMIER H S OF,45,81
1863,PREMIER H S OF,45,27
1864,PREMIER H S OF,45,67
1865,PREMIER H S OF,45,65
1866,PREMIER H S OF,45,55
1867,PREMIER H S OF,45,74
1868,PREMIER H S OF,45,64
1869,PREMIER H S OF,45,75
1870,PREMIER H S OF,45,33
1871,PREMIER H S OF,45,38
1872,PREMIER H S OF,45,36
1873,PREMIER H S OF,45,54
1874,PREMIER H S OF,45,75
1875,PREMIER H S OF,45,43
1876,PREMIER H S OF,45,57
1877,PREMIER H S OF,45,80
1878,PREMIER H S OF,45,60
1879,PREMIER H S OF,45,36
1880,PREMIER H S OF,45,69
1881,PREMIER H S OF,54,60
1882,PREMIER H S OF,54,29
1883,PREMIER H S OF,54,46
1884,PREMIER H S OF,54,38
1885,PREMIER H S OF,54,75
1886,PREMIER H S OF,54,73
1887,PREMIER H S OF,54,60
1888,PREMIER H S OF,54,50
1889,PREMIER H S OF,54,29
1890,PREMIER H S OF,54,40
1891,PREMIER H S OF,54,59
1892,PREMIER H S OF,54,81
1893,PREMIER H S OF,54,27
1894,PREMIER H S OF,54,67
1895,PREMIER H S OF,54,65
1896,PREMIER H S OF,54,55
1897,PREMIER H S OF,54,74
1898,PREMIER H S OF,54,64
1899,PREMIER H S OF,54,75
1900,PREMIER H S OF,54,33
1901,PREMIER H S OF,54,38
1902,PREMIER H S OF,54,36
1903,PREMIER H S OF,54,54
1904,PREMIER H S OF,54,75
1905,PREMIER H S OF,54,43
1906,PREMIER H S OF,54,57
1907,PREMIER H S OF,54,80
1908,PREMIER H S OF,54,60
1909,PREMIER H S OF,54,36
1910,PREMIER H S OF,54,69
1911,PREMIER H S OF,83,60
1912,PREMIER H S OF,83,29
1913,PREMIER H S OF,83,46
1914,PREMIER H S OF,83,38
1915,PREMIER H S OF,83,75
1916,PREMIER H S OF,83,73
1917,PREMIER H S OF,83,60
1918,PREMIER H S OF,83,50
1919,PREMIER H S OF,83,29
1920,PREMIER H S OF,83,40
1921,PREMIER H S OF,83,59
1922,PREMIER H S OF,83,81
1923,PREMIER H S OF,83,27
1924,PREMIER H S OF,83,67
1925,PREMIER H S OF,83,65
1926,PREMIER H S OF,83,55
1927,PREMIER H S OF,83,74
1928,PREMIER H S OF,83,64
1929,PREMIER H S OF,83,75
1930,PREMIER H S OF,83,33
1931,PREMIER H S OF,83,38
1932,PREMIER H S OF,83,36
1933,PREMIER H S OF,83,54
1934,PREMIER H S OF,83,75
1935,PREMIER H S OF,83,43
1936,PREMIER H S OF,83,57
1937,PREMIER H S OF,83,80
1938,PREMIER H S OF,83,60
1939,PREMIER H S OF,83,36
1940,PREMIER H S OF,83,69
1941,PREMIER H S OF,38,60
1942,PREMIER H S OF,38,29
1943,PREMIER H S OF,38,46
1944,PREMIER H S OF,38,38
1945,PREMIER H S OF,38,75
1946,PREMIER H S OF,38,73
1947,PREMIER H S OF,38,60
1948,PREMIER H S OF,38,50
1949,PREMIER H S OF,38,29
1950,PREMIER H S OF,38,40
1951,PREMIER H S OF,38,59
1952,PREMIER H S OF,38,81
1953,PREMIER H S OF,38,27
1954,PREMIER H S OF,38,67
1955,PREMIER H S OF,38,65
1956,PREMIER H S OF,38,55
1957,PREMIER H S OF,38,74
1958,PREMIER H S OF,38,64
1959,PREMIER H S OF,38,75
1960,PREMIER H S OF,38,33
1961,PREMIER H S OF,38,38
1962,PREMIER H S OF,38,36
1963,PREMIER H S OF,38,54
1964,PREMIER H S OF,38,75
1965,PREMIER H S OF,38,43
1966,PREMIER H S OF,38,57
1967,PREMIER H S OF,38,80
1968,PREMIER H S OF,38,60
1969,PREMIER H S OF,38,36
1970,PREMIER H S OF,38,69
1971,PREMIER H S OF,80,60
1972,PREMIER H S OF,80,29
1973,PREMIER H S OF,80,46
1974,PREMIER H S OF,80,38
1975,PREMIER H S OF,80,75
1976,PREMIER H S OF,80,73
1977,PREMIER H S OF,80,60
1978,PREMIER H S OF,80,50
1979,PREMIER H S OF,80,29
1980,PREMIER H S OF,80,40
1981,PREMIER H S OF,80,59
1982,PREMIER H S OF,80,81
1983,PREMIER H S OF,80,27
1984,PREMIER H S OF,80,67
1985,PREMIER H S OF,80,65
1986,PREMIER H S OF,80,55
1987,PREMIER H S OF,80,74
1988,PREMIER H S OF,80,64
1989,PREMIER H S OF,80,75
1990,PREMIER H S OF,80,33
1991,PREMIER H S OF,80,38
1992,PREMIER H S OF,80,36
1993,PREMIER H S OF,80,54
1994,PREMIER H S OF,80,75
1995,PREMIER H S OF,80,43
1996,PREMIER H S OF,80,57
1997,PREMIER H S OF,80,80
1998,PREMIER H S OF,80,60
1999,PREMIER H S OF,80,36
2000,PREMIER H S OF,80,69
2001,PREMIER H S OF,17,60
2002,PREMIER H S OF,17,29
2003,PREMIER H S OF,17,46
2004,PREMIER H S OF,17,38
2005,PREMIER H S OF,17,75
2006,PREMIER H S OF,17,73
2007,PREMIER H S OF,17,60
2008,PREMIER H S OF,17,50
2009,PREMIER H S OF,17,29
2010,PREMIER H S OF,17,40
2011,PREMIER H S OF,17,59
2012,PREMIER H S OF,17,81
2013,PREMIER H S OF,17,27
2014,PREMIER H S OF,17,67
2015,PREMIER H S OF,17,65
2016,PREMIER H S OF,17,55
2017,PREMIER H S OF,17,74
2018,PREMIER H S OF,17,64
2019,PREMIER H S OF,17,75
2020,PREMIER H S OF,17,33
2021,PREMIER H S OF,17,38
2022,PREMIER H S OF,17,36
2023,PREMIER H S OF,17,54
2024,PREMIER H S OF,17,75
2025,PREMIER H S OF,17,43
2026,PREMIER H S OF,17,57
2027,PREMIER H S OF,17,80
2028,PREMIER H S OF,17,60
2029,PREMIER H S OF,17,36
2030,PREMIER H S OF,17,69
2031,PREMIER H S OF,35,60
2032,PREMIER H S OF,35,29
2033,PREMIER H S OF,35,46
2034,PREMIER H S OF,35,38
2035,PREMIER H S OF,35,75
2036,PREMIER H S OF,35,73
2037,PREMIER H S OF,35,60
2038,PREMIER H S OF,35,50
2039,PREMIER H S OF,35,29
2040,PREMIER H S OF,35,40
2041,PREMIER H S OF,35,59
2042,PREMIER H S OF,35,81
2043,PREMIER H S OF,35,27
2044,PREMIER H S OF,35,67
2045,PREMIER H S OF,35,65
2046,PREMIER H S OF,35,55
2047,PREMIER H S OF,35,74
2048,PREMIER H S OF,35,64
2049,PREMIER H S OF,35,75
2050,PREMIER H S OF,35,33
2051,PREMIER H S OF,35,38
2052,PREMIER H S OF,35,36
2053,PREMIER H S OF,35,54
2054,PREMIER H S OF,35,75
2055,PREMIER H S OF,35,43
2056,PREMIER H S OF,35,57
2057,PREMIER H S OF,35,80
2058,PREMIER H S OF,35,60
2059,PREMIER H S OF,35,36
2060,PREMIER H S OF,35,69
2061,PREMIER H S OF,43,60
2062,PREMIER H S OF,43,29
2063,PREMIER H S OF,43,46
2064,PREMIER H S OF,43,38
2065,PREMIER H S OF,43,75
2066,PREMIER H S OF,43,73
2067,PREMIER H S OF,43,60
2068,PREMIER H S OF,43,50
2069,PREMIER H S OF,43,29
2070,PREMIER H S OF,43,40
2071,PREMIER H S OF,43,59
2072,PREMIER H S OF,43,81
2073,PREMIER H S OF,43,27
2074,PREMIER H S OF,43,67
2075,PREMIER H S OF,43,65
2076,PREMIER H S OF,43,55
2077,PREMIER H S OF,43,74
2078,PREMIER H S OF,43,64
2079,PREMIER H S OF,43,75
2080,PREMIER H S OF,43,33
2081,PREMIER H S OF,43,38
2082,PREMIER H S OF,43,36
2083,PREMIER H S OF,43,54
2084,PREMIER H S OF,43,75
2085,PREMIER H S OF,43,43
2086,PREMIER H S OF,43,57
2087,PREMIER H S OF,43,80
2088,PREMIER H S OF,43,60
2089,PREMIER H S OF,43,36
2090,PREMIER H S OF,43,69
2091,PREMIER H S OF,29,60
2092,PREMIER H S OF,29,29
2093,PREMIER H S OF,29,46
2094,PREMIER H S OF,29,38
2095,PREMIER H S OF,29,75
2096,PREMIER H S OF,29,73
2097,PREMIER H S OF,29,60
2098,PREMIER H S OF,29,50
2099,PREMIER H S OF,29,29
2100,PREMIER H S OF,29,40
2101,PREMIER H S OF,29,59
2102,PREMIER H S OF,29,81
2103,PREMIER H S OF,29,27
2104,PREMIER H S OF,29,67
2105,PREMIER H S OF,29,65
2106,PREMIER H S OF,29,55
2107,PREMIER H S OF,29,74
2108,PREMIER H S OF,29,64
2109,PREMIER H S OF,29,75
2110,PREMIER H S OF,29,33
2111,PREMIER H S OF,29,38
2112,PREMIER H S OF,29,36
2113,PREMIER H S OF,29,54
2114,PREMIER H S OF,29,75
2115,PREMIER H S OF,29,43
2116,PREMIER H S OF,29,57
2117,PREMIER H S OF,29,80
2118,PREMIER H S OF,29,60
2119,PREMIER H S OF,29,36
2120,PREMIER H S OF,29,69
2121,PREMIER H S OF,67,60
2122,PREMIER H S OF,67,29
2123,PREMIER H S OF,67,46
2124,PREMIER H S OF,67,38
2125,PREMIER H S OF,67,75
2126,PREMIER H S OF,67,73
2127,PREMIER H S OF,67,60
2128,PREMIER H S OF,67,50
2129,PREMIER H S OF,67,29
2130,PREMIER H S OF,67,40
2131,PREMIER H S OF,67,59
2132,PREMIER H S OF,67,81
2133,PREMIER H S OF,67,27
2134,PREMIER H S OF,67,67
2135,PREMIER H S OF,67,65
2136,PREMIER H S OF,67,55
2137,PREMIER H S OF,67,74
2138,PREMIER H S OF,67,64
2139,PREMIER H S OF,67,75
2140,PREMIER H S OF,67,33
2141,PREMIER H S OF,67,38
2142,PREMIER H S OF,67,36
2143,PREMIER H S OF,67,54
2144,PREMIER H S OF,67,75
2145,PREMIER H S OF,67,43
2146,PREMIER H S OF,67,57
2147,PREMIER H S OF,67,80
2148,PREMIER H S OF,67,60
2149,PREMIER H S OF,67,36
2150,PREMIER H S OF,67,69
2151,PREMIER H S OF,38,60
2152,PREMIER H S OF,38,29
2153,PREMIER H S OF,38,46
2154,PREMIER H S OF,38,38
2155,PREMIER H S OF,38,75
2156,PREMIER H S OF,38,73
2157,PREMIER H S OF,38,60
2158,PREMIER H S OF,38,50
2159,PREMIER H S OF,38,29
2160,PREMIER H S OF,38,40
2161,PREMIER H S OF,38,59
2162,PREMIER H S OF,38,81
2163,PREMIER H S OF,38,27
2164,PREMIER H S OF,38,67
2165,PREMIER H S OF,38,65
2166,PREMIER H S OF,38,55
2167,PREMIER H S OF,38,74
2168,PREMIER H S OF,38,64
2169,PREMIER H S OF,38,75
2170,PREMIER H S OF,38,33
2171,PREMIER H S OF,38,38
2172,PREMIER H S OF,38,36
2173,PREMIER H S OF,38,54
2174,PREMIER H S OF,38,75
2175,PREMIER H S OF,38,43
2176,PREMIER H S OF,38,57
2177,PREMIER H S OF,38,80
2178,PREMIER H S OF,38,60
2179,PREMIER H S OF,38,36
2180,PREMIER H S OF,38,69
2181,PREMIER H S OF,71,60
2182,PREMIER H S OF,71,29
2183,PREMIER H S OF,71,46
2184,PREMIER H S OF,71,38
2185,PREMIER H S OF,71,75
2186,PREMIER H S OF,71,73
2187,PREMIER H S OF,71,60
2188,PREMIER H S OF,71,50
2189,PREMIER H S OF,71,29
2190,PREMIER H S OF,71,40
2191,PREMIER H S OF,71,59
2192,PREMIER H S OF,71,81
2193,PREMIER H S OF,71,27
2194,PREMIER H S OF,71,67
2195,PREMIER H S OF,71,65
2196,PREMIER H S OF,71,55
2197,PREMIER H S OF,71,74
2198,PREMIER H S OF,71,64
2199,PREMIER H S OF,71,75
2200,PREMIER H S OF,71,33
2201,PREMIER H S OF,71,38
2202,PREMIER H S OF,71,36
2203,PREMIER H S OF,71,54
2204,PREMIER H S OF,71,75
2205,PREMIER H S OF,71,43
2206,PREMIER H S OF,71,57
2207,PREMIER H S OF,71,80
2208,PREMIER H S OF,71,60
2209,PREMIER H S OF,71,36
2210,PREMIER H S OF,71,69
2211,PREMIER H S OF,85,60
2212,PREMIER H S OF,85,29
2213,PREMIER H S OF,85,46
2214,PREMIER H S OF,85,38
2215,PREMIER H S OF,85,75
2216,PREMIER H S OF,85,73
2217,PREMIER H S OF,85,60
2218,PREMIER H S OF,85,50
2219,PREMIER H S OF,85,29
2220,PREMIER H S OF,85,40
2221,PREMIER H S OF,85,59
2222,PREMIER H S OF,85,81
2223,PREMIER H S OF,85,27
2224,PREMIER H S OF,85,67
2225,PREMIER H S OF,85,65
2226,PREMIER H S OF,85,55
2227,PREMIER H S OF,85,74
2228,PREMIER H S OF,85,64
2229,PREMIER H S OF,85,75
2230,PREMIER H S OF,85,33
2231,PREMIER H S OF,85,38
2232,PREMIER H S OF,85,36
2233,PREMIER H S OF,85,54
2234,PREMIER H S OF,85,75
2235,PREMIER H S OF,85,43
2236,PREMIER H S OF,85,57
2237,PREMIER H S OF,85,80
2238,PREMIER H S OF,85,60
2239,PREMIER H S OF,85,36
2240,PREMIER H S OF,85,69
2241,PREMIER H S OF,67,60
2242,PREMIER H S OF,67,29
2243,PREMIER H S OF,67,46
2244,PREMIER H S OF,67,38
2245,PREMIER H S OF,67,75
2246,PREMIER H S OF,67,73
2247,PREMIER H S OF,67,60
2248,PREMIER H S OF,67,50
2249,PREMIER H S OF,67,29
2250,PREMIER H S OF,67,40
2251,PREMIER H S OF,67,59
2252,PREMIER H S OF,67,81
2253,PREMIER H S OF,67,27
2254,PREMIER H S OF,67,67
2255,PREMIER H S OF,67,65
2256,PREMIER H S OF,67,55
2257,PREMIER H S OF,67,74
2258,PREMIER H S OF,67,64
2259,PREMIER H S OF,67,75
2260,PREMIER H S OF,67,33
2261,PREMIER H S OF,67,38
2262,PREMIER H S OF,67,36
2263,PREMIER H S OF,67,54
2264,PREMIER H S OF,67,75
2265,PREMIER H S OF,67,43
2266,PREMIER H S OF,67,57
2267,PREMIER H S OF,67,80
2268,PREMIER H S OF,67,60
2269,PREMIER H S OF,67,36
2270,PREMIER H S OF,67,69
2271,PREMIER H S OF,35,60
2272,PREMIER H S OF,35,29
2273,PREMIER H S OF,35,46
2274,PREMIER H S OF,35,38
2275,PREMIER H S OF,35,75
2276,PREMIER H S OF,35,73
2277,PREMIER H S OF,35,60
2278,PREMIER H S OF,35,50
2279,PREMIER H S OF,35,29
2280,PREMIER H S OF,35,40
2281,PREMIER H S OF,35,59
2282,PREMIER H S OF,35,81
2283,PREMIER H S OF,35,27
2284,PREMIER H S OF,35,67
2285,PREMIER H S OF,35,65
2286,PREMIER H S OF,35,55
2287,PREMIER H S OF,35,74
2288,PREMIER H S OF,35,64
2289,PREMIER H S OF,35,75
2290,PREMIER H S OF,35,33
2291,PREMIER H S OF,35,38
2292,PREMIER H S OF,35,36
2293,PREMIER H S OF,35,54
2294,PREMIER H S OF,35,75
2295,PREMIER H S OF,35,43
2296,PREMIER H S OF,35,57
2297,PREMIER H S OF,35,80
2298,PREMIER H S OF,35,60
2299,PREMIER H S OF,35,36
2300,PREMIER H S OF,35,69
2301,PREMIER H S OF,31,60
2302,PREMIER H S OF,31,29
2303,PREMIER H S OF,31,46
2304,PREMIER H S OF,31,38
2305,PREMIER H S OF,31,75
2306,PREMIER H S OF,31,73
2307,PREMIER H S OF,31,60
2308,PREMIER H S OF,31,50
2309,PREMIER H S OF,31,29
2310,PREMIER H S OF,31,40
2311,PREMIER H S OF,31,59
2312,PREMIER H S OF,31,81
2313,PREMIER H S OF,31,27
2314,PREMIER H S OF,31,67
2315,PREMIER H S OF,31,65
2316,PREMIER H S OF,31,55
2317,PREMIER H S OF,31,74
2318,PREMIER H S OF,31,64
2319,PREMIER H S OF,31,75
2320,PREMIER H S OF,31,33
2321,PREMIER H S OF,31,38
2322,PREMIER H S OF,31,36
2323,PREMIER H S OF,31,54
2324,PREMIER H S OF,31,75
2325,PREMIER H S OF,31,43
2326,PREMIER H S OF,31,57
2327,PREMIER H S OF,31,80
2328,PREMIER H S OF,31,60
2329,PREMIER H S OF,31,36
2330,PREMIER H S OF,31,69
2331,PREMIER H S AME,75,56
2332,TEXAS VIRTUAL A,51,31
2333,PREMIER HIGH SC,80,62
2334,HUSTON ACADEMY,64,48
2335,SHORELINE ACADE,83,54
2336,DUBLIN H S,40,31
2337,STEPHENVILLE H,28,26
2338,HUCKABAY SCHOOL,33,19
2339,LINGLEVILLE SCH,30,26
2340,CHILTON SCHOOL,69,65
2341,MARLIN H S,64,68
2342,SUCCESS ACADEMY,100,92
2343,ROSEBUD-LOTT H,49,38
2344,BONHAM H S,51,48
2345,DODD CITY SCHOO,28,8
2346,ECTOR H S,27,33
2347,HONEY GROVE H S,28,35
2348,LEONARD H S,47,33
2349,SAVOY H S,21,19
2350,TRENTON H S,31,21
2351,RAYBURN H S,29,28
2352,FLATONIA SECOND,30,25
2354,LA GRANGE H S,33,28
2355,SCHULENBURG SEC,35,45
2356,FAYETTEVILLE SC,9,17
2357,ROUND TOP-CARMI,28,25
2358,ROBY H S,19,20
2359,ROTAN H S,54,26
2360,FLOYDADA H S,47,45
2362,LOCKNEY H S,58,42
2363,CROWELL SCHOOL,45,47
2364,LAMAR CONS H S,44,41
2365,B F TERRY H S,46,38
2366,FOSTER H S,21,18
2367,GEORGE RANCH H,15,14
2368,FULSHEAR H S,23,22
2369,NEEDVILLE H S,28,25
2370,DULLES H S,20,21
2371,WILLOWRIDGE H S,54,49
2372,CLEMENTS H S,8,10
2373,KEMPNER H S,30,26
2374,LAWRENCE E ELKI,19,22
2375,STEPHEN F AUSTI,15,16
2376,HIGHTOWER H S,41,38
2377,GEORGE BUSH H S,39,35
2378,THURGOOD MARSHA,54,51
2379,RIDGE POINT H S,20,16
2380,STAFFORD H S,39,43
2381,MT VERNON H S,37,25
2382,FAIRFIELD H S,7,12
2383,TEAGUE H S,31,34
2385,WORTHAM H S,31,40
2387,DILLEY H S,58,48
2388,PEARSALL H S,63,60
2389,SEAGRAVES SCHOO,63,58
2390,LOOP SCHOOL,17,44
2391,SEMINOLE H S,41,40
2393,ODYSSEY ACADEMY,14,16
2394,ODYSSEY ACADEMY,14,25
2395,ODYSSEY ACADEMY,48,16
2396,ODYSSEY ACADEMY,48,25
2397,DICKINSON H S,44,41
2401,BALL H S,48,45
2402,AIM COLLEGE & C,72,80
2403,HIGH ISLAND SCH,35,37
2404,TEXAS CITY H S,51,54
2405,LA MARQUE H S,74,63
2406,HITCHCOCK H S,60,62
2407,SANTA FE H S,44,39
2408,CLEAR CREEK H S,33,31
2409,CLEAR LAKE H S,21,19
2410,CLEAR BROOK H S,27,24
2411,CLEAR VIEW H S,51,33
2412,CLEAR SPRINGS H,19,20
2413,CLEAR HORIZONS,7,3
2414,CLEAR FALLS H S,19,15
2415,FRIENDSWOOD H S,14,14
2416,POST H S,51,40
2417,GARZA COUNTY RE,92,62
2418,SOUTHLAND SCHOO,63,62
2419,FREDERICKSBURG,39,43
2421,HARPER H S,19,25
2422,GARDEN CITY H S,17,12
2423,GOLIAD H S,44,37
2424,GONZALES H S,55,53
2426,NIXON-SMILEY H,43,43
2427,WAELDER SCHOOL,61,65
2428,LEFORS SCHOOL,32,46
2429,MCLEAN SCHOOL,35,27
2430,PAMPA H S,54,55
2431,P L C-PAMPA LEA,71,67
2432,BELLS H S,27,21
2433,COLLINSVILLE H,31,43
2434,DENISON H S,44,44
2436,HOWE H S,20,17
2437,SHERMAN H S,44,36
2438,COOKE/FANNIN/GR,57,63
2440,PERRIN LEARNING,86,71
2441,TIOGA SCHOOL,16,27
2442,VAN ALSTYNE H S,12,5
2443,WHITESBORO H S,31,29
2444,WHITEWRIGHT H S,23,20
2445,POTTSBORO H S,22,15
2446,S AND S CONS H,54,37
2447,GUNTER H S,21,14
2448,TOM BEAN H S,40,30
2449,DAN CHADWICK CA,61,49
2450,GLADEWATER H S,57,41
2451,KILGORE H S,42,41
2452,LONGVIEW H S,34,26
2453,LEAD ACADEMY H,69,72
2454,PINE TREE H S,43,42
2455,EXCEL H S OF CH,68,60
2456,SABINE H S,25,26
2457,SPRING HILL H S,15,22
2458,WHITE OAK H S,13,14
2459,ANDERSON-SHIRO,40,31
2461,IOLA H S,14,11
2462,NAVASOTA H S,54,41
2463,W B BIZZELL ACA,75,85
2464,RICHARDS H S,57,31
2465,SEGUIN H S,53,48
2466,SEGUIN H S,53,42
2467,SEGUIN H S,37,48
2468,SEGUIN H S,37,42
2469,MERCER & BLUMBE,69,86
2470,SAMUEL CLEMENS,29,26
2471,ALLISON L STEEL,88,75
2472,BYRON P STEELE,19,22
2473,NAVARRO H S,28,25
2474,MARION H S,33,31
2475,ABERNATHY H S,18,20
2476,COTTON CENTER S,13,21
2477,HALE CENTER H S,37,24
2478,PETERSBURG SCHO,33,52
2479,PLAINVIEW H S,39,40
2480,ASH H S,93,83
2482,MEMPHIS H S,42,43
2483,VALLEY SCHOOL,40,21
2484,HAMILTON H S,45,35
2485,HICO H S,24,40
2486,GRUVER H S,21,32
2487,SPEARMAN H S,27,25
2488,CHILLICOTHE H S,45,38
2489,QUANAH H S,27,32
2490,KOUNTZE H S,40,36
2491,SILSBEE H S,44,38
2492,HARDIN-JEFFERSO,20,21
2493,LUMBERTON H S,27,26
2494,WEST HARDIN H S,42,32
2495,ARISTOI CLASSIC,11,4
2497,GEORGE I SANCHE,83,80
2498,RAUL YZAGUIRRE,46,26
2500,HARRIS COUNTY J,87,88
2501,BURNETT-BAYLAND,85,85
2502,HARRIS COUNTY Y,71,75
2503,LEADERSHIP ACAD,80,63
2504,LEADERSHIP ACAD,80,96
2505,LEADERSHIP ACAD,100,63
2506,LEADERSHIP ACAD,100,96
2508,KIPP HOUSTON H,22,13
2509,KIPP GENERATION,35,28
2510,KIPP NORTHEAST,44,31
2511,KIPP SUNNYSIDE,41,40
2512,HOUSTON HEIGHTS,67,57
2513,HOUSTON GATEWAY,14,14
2514,CALVIN NELMS H,16,13
2515,PHOENIX SCHOOL,79,52
2516,COMQUEST ACADEM,61,43
2517,YES PREP - SOUT,12,13
2518,YES PREP - SOUT,12,20
2519,YES PREP - SOUT,22,13
2520,YES PREP - SOUT,22,20
2521,YES PREP - EAST,26,17
2522,YES PREP - GULF,49,19
2523,YES PREP - WEST,19,16
2524,YES PREP - BRAY,40,17
2525,YES PREP - NORT,38,26
2526,YES PREP - NORT,38,11
2527,YES PREP - NORT,18,26
2528,YES PREP - NORT,18,11
2529,YES PREP - 5TH,35,19
2530,YES PREP NORTH,42,35
2531,GLOBAL LEARNING,90,87
2532,PRO-VISION H S,84,84
2533,C O R E ACADEMY,78,63
2534,ALDINE H S,85,58
